week_date,time_idx,deaths,year,week_of_year,series_id,fear_score_weekly_mean,fear_score_weekly_mean_lag4w,feature_std,feature_lag_std
1711-02-02,1726,409.0,1711,6,London,0.6577469706535339,0.6459078788757324,-0.09345852097811004,-1.1549731836719062
1711-02-09,1727,478.0,1711,7,London,0.6577469706535339,0.6459078788757324,-0.09345852097811004,-1.1549731836719062
1711-02-16,1728,503.0,1711,8,London,0.6577469706535339,0.6459078788757324,-0.09345852097811004,-1.1549731836719062
1711-02-23,1729,566.0,1711,9,London,0.6577469706535339,0.6459078788757324,-0.09345852097811004,-1.1549731836719062
1711-03-02,1730,462.0,1711,10,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1711-03-09,1731,466.0,1711,11,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1711-03-16,1732,475.0,1711,12,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1711-03-23,1733,427.0,1711,13,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1711-03-30,1734,500.0,1711,14,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1711-04-06,1735,421.0,1711,15,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1711-04-13,1736,426.0,1711,16,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1711-04-20,1737,456.0,1711,17,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1711-04-27,1738,433.0,1711,18,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1711-05-04,1739,396.0,1711,19,London,0.6515809893608093,0.6577469706535339,-0.6464612314802438,-0.09217993366061498
1711-05-11,1740,419.0,1711,20,London,0.6515809893608093,0.6577469706535339,-0.6464612314802438,-0.09217993366061498
1711-05-18,1741,422.0,1711,21,London,0.6515809893608093,0.6577469706535339,-0.6464612314802438,-0.09217993366061498
1711-05-25,1742,422.0,1711,22,London,0.6515809893608093,0.6577469706535339,-0.6464612314802438,-0.09217993366061498
1711-06-01,1743,373.0,1711,23,London,0.6577469706535339,0.6515809893608093,-0.09345852097811004,-0.6456990228436971
1711-06-08,1744,330.0,1711,24,London,0.6577469706535339,0.6515809893608093,-0.09345852097811004,-0.6456990228436971
1711-06-15,1745,402.0,1711,25,London,0.6577469706535339,0.6515809893608093,-0.09345852097811004,-0.6456990228436971
1711-06-22,1746,362.0,1711,26,London,0.6577469706535339,0.6515809893608093,-0.09345852097811004,-0.6456990228436971
1711-06-29,1747,372.0,1711,27,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1711-07-06,1748,322.0,1711,28,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
